norad_id,satellite_name,collision_probability,risk_class,risk_label,altitude_km,velocity_mag_km_s,lstm_pred_alt_km,lstm_risk_score,dist_evolution
11,VANGUARD 2,0.772,2,High,684.5168267833715,7.988387363927716,684.5168267833715,0.0011322185971696765,2205.369470885903
18010,USA 24,0.6871,2,High,404.7382033816466,7.946870384241145,404.7382033816466,0.0011728420056540863,876.1002711248993
14690,OPS 8737,0.6859,2,High,405.6956955992564,7.902981084884931,405.6956955992564,0.0011661997881972296,907.7763935331477
12138,COSMOS 1238,0.6855,2,High,403.91610703298466,7.901600001400349,403.91610703298466,0.0011663022650860227,899.5004999420789
18009,USA 23,0.6503,2,High,476.1698089033698,7.869300085787681,476.1698089033698,0.0011492777754036764,913.7459290453744
15331,COSMOS 1602,0.6241,1,Medium,286.73522014268565,7.735541104181982,286.73522014268565,0.0011618877663951612,0.058881195156573085
13874,SSC,0.6207,1,Medium,458.0198501296027,7.898635875048931,458.0198501296027,0.001156628044491484,614.8947348285492
4964,COSMOS 397,0.6065,1,Medium,605.9374487069636,7.919837780259455,605.9374487069636,0.0011351453038649843,883.0348557999732
14728,JD 1,0.6024,1,Medium,454.9991083014893,7.911125773842178,454.9991083014893,0.0011589696465417062,460.1479803443026
107,EXPLORER 11,0.5946,1,Medium,477.62001900351515,7.812317050036436,477.62001900351515,0.0011407140458017614,556.3553678674634
4221,AZUR (GRS A),0.576,1,Medium,401.10426961127723,7.711513146555999,401.10426961127723,0.0011387174265996122,244.2153654835529
16326,COSMOS 1707,0.5593,1,Medium,368.0741476497469,7.691111093937468,368.0741476497469,0.0011412711784184397,1.8853367996098314
7003,AUREOLE 2,0.5565,1,Medium,374.78512672352826,7.696203981835265,374.78512672352826,0.0011408907691629012,6.726616286529861
8688,COSMOS 803,0.5436,1,Medium,392.5894216444576,7.6779575237422355,392.5894216444576,0.0011351897705634923,0.9166471831649687
22,EXPLORER 7,0.5402,1,Medium,535.0359492722664,7.56965346592088,729.51,0.0011709893622193109,88.30545942784192
16719,COSMOS 1743,0.5381,1,Medium,399.31022035995466,7.661577834314287,399.31022035995466,0.0011316435414250408,0.9140268710507371
17911,COSMOS 1842,0.5381,1,Medium,402.76941333772174,7.671467266147331,402.76941333772174,0.0011325255995638145,5.699723145582539
20261,INTERCOSMOS 24,0.5378,1,Medium,821.0001735966898,7.730860602880445,458.36,0.001169896793843121,381.1964781919105
2389,OV3-3,0.5363,1,Medium,512.2067623299026,7.898267244024413,512.2067623299026,0.0011474691254735638,155.71590395956264
16881,COSMOS 1766,0.5321,1,Medium,414.65878343295844,7.66866065812662,414.65878343295844,0.0011301276564111198,9.021337104963095
16262,COSMOS 1703,0.5268,1,Medium,420.71511202405327,7.65671805146154,420.71511202405327,0.0011273614875138217,2.283480456604593
9588,COSMOS 871,0.5231,1,Medium,1437.9324080128,7.149227162697028,256.21,0.001259176855998434,6.0390752580387925
17191,COSMOS 1805,0.5196,1,Medium,433.6059784771296,7.643936418365475,433.6059784771296,0.0011233473977101886,5.55628975651598
4922,COSMOS 394,0.5191,1,Medium,435.51598329009266,7.6525958846990605,435.51598329009266,0.0011243044023529927,1.188380973256244
14147,COSMOS 1470,0.5186,1,Medium,438.05498165756126,7.653537575395903,438.05498165756126,0.0011240234652258258,4.732785220149708
20547,USA 55,0.5128,1,Medium,456.0872178480586,7.6264255060489505,456.0872178480586,0.0011170833567368497,44.03223161006008
18214,COSMOS 1869,0.5061,1,Medium,461.556096825404,7.635693598103972,461.556096825404,0.0011175456871333597,4.854113053733272
12987,COSMOS 1328,0.5031,1,Medium,471.6720217512302,7.6324212262134745,471.6720217512302,0.0011154153234221688,16.728463885360725
18152,COSMOS 1862,0.498,1,Medium,480.0254184702926,7.63073089862937,480.0254184702926,0.0011138085808376948,5.420726530125648
19274,OKEAN 1,0.498,1,Medium,482.30043909662345,7.619688202167724,482.30043909662345,0.001111827544973663,21.338673432873293
2016,DIAPASON (D1-A),0.4934,1,Medium,885.5556550376386,7.655747308723689,885.5556550376386,0.0010550111750895102,755.033410587831
6350,COSMOS 546,0.4914,1,Medium,492.44972338868865,7.618935718208613,492.44972338868865,0.001110073800387208,3.196714474734108
14143,GB 1,0.4903,1,Medium,558.3156173586531,7.800113040825819,558.3156173586531,0.001125668604455789,17.575083277672093
19210,COSMOS 1953,0.49,1,Medium,497.68144731839857,7.612040541675931,497.68144731839857,0.0011082244241575284,13.364297297598569
8818,OPS 6431,0.4873,1,Medium,709.8461426483491,7.615835642440953,709.8461426483491,0.0010755544590314327,461.86592428979566
7825,COSMOS 736,0.482,1,Medium,1481.2708332782713,7.127793250915391,302.76,0.0012091122902829418,0.7021433369172883
7337,COSMOS 660,0.4819,1,Medium,561.1386873809979,7.638573664326214,561.1386873809979,0.0011019072192296417,96.42195836355404
14064,COSMOS 1461,0.4804,1,Medium,460.77984481434305,7.636169892952357,834.26,0.0010806071959381521,25.560518895794303
18958,COSMOS 1933,0.4783,1,Medium,525.5957308760453,7.597886002901268,525.5957308760453,0.001101686440584816,14.546019217553294
20510,OKEAN 2,0.477,1,Medium,525.9756962204074,7.602832594805241,525.9756962204074,0.0011023429586639907,1.8246687841274252
20465,COSMOS 2058,0.4766,1,Medium,532.6209471581651,7.603310807308813,532.6209471581651,0.0011013511410180583,15.9523865783558
369,FTV 3502,0.4741,1,Medium,554.1593547526727,7.6141388695260215,554.1593547526727,0.0010994893372815325,42.422787837900614
15071,USA 3,0.4715,1,Medium,541.8102925559724,7.586494406599533,541.8102925559724,0.0010974544484128278,15.727640503091607
12108,COSMOS 1229,0.4705,1,Medium,1425.1048799010005,7.162469607275413,417.79,0.0011921160662839274,0.8240006754194837
10529,SS 1,0.4682,1,Medium,661.8977488852142,7.669145452819434,661.8977488852142,0.0010904673616270151,188.29309068333623
2674,DIADEME 1,0.4682,1,Medium,581.8346738094806,7.610237858315665,581.8346738094806,0.001094551821717054,67.59835109545747
14729,JD 2,0.4659,1,Medium,702.6748197529978,7.652609432110135,702.6748197529978,0.0010818435434352285,261.3724197294896
20436,SPOT 2,0.4653,1,Medium,581.7338075901016,7.606071826776092,581.7338075901016,0.0010939685075348003,49.06409064997115
13172,OPS 6553,0.4631,1,Medium,560.5255436950538,7.583658545583457,560.5255436950538,0.0010940821753851267,2.0982857892686297
10095,COSMOS 921,0.4616,1,Medium,576.76380241268,7.575434545031197,576.76380241268,0.0010903414048705213,36.295694849185566
876,COSMOS 44,0.4606,1,Medium,581.6245855437946,7.621413903064116,581.6245855437946,0.0010961923528721655,1.8104646751471591
397,TIROS 6,0.4561,1,Medium,580.1430373039229,7.578040589212491,580.1430373039229,0.0010901862540512067,0.8370408313903681
19573,COSMOS 1975,0.4553,1,Medium,493.3483789336351,7.614999492168795,153.44,0.0010610375918931301,20.13424586216479
14780,LANDSAT 5,0.4546,1,Medium,590.815013617108,7.552957491838345,590.815013617108,0.0010849121209145862,34.892710948471176
8889,COSMOS 825,0.4472,1,Medium,1422.8257979214013,7.165393922797545,303.83,0.0011610676920123001,7.223829592118818
14781,OSCAR 11 (UOSAT 2),0.4438,1,Medium,610.6755552510067,7.547419334154026,610.6755552510067,0.0010810326653574608,3.2434155393884794
16613,SPOT 1,0.4436,1,Medium,641.5513256557897,7.553804214167918,641.5513256557897,0.0010771834477035377,60.79663362428528
29,TIROS 1,0.4424,1,Medium,623.3421452126431,7.560704080363614,623.3421452126431,0.0010809742965660642,9.389169780713928
3229,COSMOS 220,0.4407,1,Medium,623.8106864695819,7.548433307761684,623.8106864695819,0.0010791476204442534,7.560337241472553
716,TIROS 8,0.4348,1,Medium,643.3776687072996,7.549628328568301,643.3776687072996,0.001076307647683254,3.1450006234754255
2826,OPS 5712 (P/L 160),0.4343,1,Medium,642.3893616748364,7.538045565716024,642.3893616748364,0.001074807796485421,6.9889193521494235
