satellite_name,norad_id,horizon_h,future_x_km,future_y_km,future_z_km,vel_x_km_s,vel_y_km_s,vel_z_km_s,altitude_km,velocity_mag_km_s,sgp4_risk_score
VANGUARD 2,11,1,-6769.7503,-4008.3909,-4885.4169,3.568858,-4.865336,-0.69751,2889.8862976692744,6.074105861537153,0.000655888180277718
VANGUARD 2,11,6,5279.1009,2664.2084,3610.697,-4.215743,6.820016,1.258325,557.4951855955251,8.115940431516854,0.0011713857358795674
VANGUARD 2,11,12,5877.0707,1486.9168,3368.6373,-3.089062,7.255637,1.89035,564.3153383153403,8.109253691808698,0.0011692696433005336
VANGUARD 2,11,24,6473.7303,-991.8098,2624.3946,-0.643248,7.394984,2.95208,684.5168267833715,7.988387363927716,0.0011322185971696765
VANGUARD 3,20,1,6944.3264,4023.4751,-5237.6412,-3.112615,4.997048,-0.349095,3212.574822058541,5.897518814853752,0.0006153777608413321
VANGUARD 3,20,6,-6389.7833,1627.9192,2750.108,0.185914,-7.436849,2.802125,773.4065921776546,7.949414543211469,0.0011126766709939507
VANGUARD 3,20,12,-4991.2186,6065.6686,361.3853,-3.796133,-4.847147,3.885546,1492.5359739158066,7.280310948813519,0.0009258317089109902
VANGUARD 3,20,24,2273.1014,7966.382,-4145.8202,-5.375384,1.936347,2.239321,2892.8036073382937,6.1366726646372465,0.0006624355313163267
EXPLORER 7,22,1,-3343.8964,-5514.8473,-2210.4898,5.398923,-1.097316,-5.340271,446.7304898444245,7.672741773135989,0.0011254099563726045
EXPLORER 7,22,6,3088.3343,-3090.0173,-5236.6523,5.642859,5.183068,0.225893,448.71722096679514,7.665316642771777,0.0011239933261756425
EXPLORER 7,22,12,-3347.9682,-5425.1055,-2416.2334,5.520532,-1.043632,-5.225448,446.53948265919826,7.672727553820219,0.001125439401317182
EXPLORER 7,22,24,-1632.5787,4220.1376,5217.1312,-6.442768,-3.830852,1.05592,535.0359492722664,7.56965346592088,0.001096092392440926
TIROS 1,29,1,1665.9131,-5898.3703,-3389.1317,6.156803,-0.719782,4.308954,632.731314993357,7.549264459697316,0.0010778917865589873
TIROS 1,29,6,4203.9102,-5515.1146,-938.6991,4.477654,2.478933,5.561029,626.8929701116476,7.557746866695524,0.0010800032093910325
TIROS 1,29,12,-5282.65,-356.2809,-4616.0726,2.786638,-6.459485,-2.671508,653.3471832388504,7.525108158846156,0.0010712893259037931
TIROS 1,29,24,5631.965,-3482.2952,2252.8676,1.311069,5.424475,5.101021,623.3421452126431,7.560704080363614,0.0010809742965660642
TRANSIT 2A,45,1,6580.3172,-2332.0508,408.4491,1.317414,2.741767,-7.003172,622.272914286078,7.635265810125342,0.0010918014931932344
TRANSIT 2A,45,6,6474.6592,-2536.9946,781.5599,1.750068,2.57528,-6.966219,626.7417238607641,7.630400529394574,0.001090408996287557
TRANSIT 2A,45,12,-6621.803,949.2162,2993.5772,2.218249,-3.506503,5.986334,957.7646174175406,7.283706932226612,0.0009938519399185172
TRANSIT 2A,45,24,-1207.267,-2597.9358,6626.3047,6.909849,-2.619506,0.047763,848.0496609631882,7.389865099648707,0.001023661762518299
SOLRAD 1 (GREB),46,1,-4983.4633,-4670.8326,-2259.6415,3.710983,-0.741248,-6.347374,823.2729548017505,7.389857922833768,0.0010271862034233043
SOLRAD 1 (GREB),46,6,-4276.7109,-4680.4675,-3358.825,4.609073,0.127493,-5.799372,803.8684671818237,7.408948911874207,0.0010326250503076228
SOLRAD 1 (GREB),46,12,-903.1214,2765.0042,6497.445,-6.367167,-3.789227,0.881715,747.8249042366951,7.461667253680171,0.0010481599637658509
SOLRAD 1 (GREB),46,24,-6125.5161,-3819.2213,113.9077,1.49252,-2.502172,-6.763707,848.5134042296922,7.3645239526959925,0.0010200859172006444
COURIER 1B,58,1,-5855.5047,-3209.5771,3154.2691,2.745941,-6.695301,-1.481493,1013.9667573917559,7.38661417464937,0.001000223077139239
COURIER 1B,58,6,-4485.6755,5261.9316,2468.6944,-4.68396,-5.210088,2.473761,970.9112562717737,7.429938878245567,0.0010119897420305369
COURIER 1B,58,12,-145.8514,-7512.4589,-86.127,6.388014,-0.196211,-3.446867,1143.3681846979098,7.261274938769775,0.0009663187589818226
COURIER 1B,58,24,-6412.6052,812.9504,3479.2846,-0.899261,-7.373976,0.145756,969.8320462822439,7.430036151071742,0.001012151770293488
EXPLORER 11,107,1,6865.6871,-1030.4343,2575.6953,0.382559,6.773972,2.503942,1033.9753868709786,7.232065651294172,0.0009766495192025384
EXPLORER 11,107,6,6603.1572,-2455.8699,2040.999,1.836549,6.419879,2.958313,963.756907467272,7.303381025936618,0.0009957223011032976
EXPLORER 11,107,12,-6426.0832,1090.1582,-2488.5107,0.001957,-7.298687,-2.374642,605.7955178838356,7.675269401264167,0.0011001138533571625
EXPLORER 11,107,24,-4637.1895,-3825.2868,-3281.3489,4.864472,-6.100941,0.384355,477.62001900351515,7.812317050036436,0.0011407140458017614
TRANSIT 4A,116,1,3684.3313,-369.9215,-6233.4406,4.609601,5.301046,2.436445,879.3048734553431,7.435440424839809,0.0010255348643423644
TRANSIT 4A,116,6,275.9243,-3369.4388,-6440.0073,5.974414,4.00671,-1.784088,902.4411436629653,7.411499015667479,0.0010189810942685359
TRANSIT 4A,116,12,334.5257,3751.2992,6274.6907,-5.975069,-3.522484,2.481424,947.1894285777835,7.366600854722143,0.0010066152190534056
TRANSIT 4A,116,24,1865.8229,4451.3843,5484.9531,-5.764112,-2.370185,3.952919,935.2184329275633,7.380266438505455,0.0010101349290686647
SOLRAD 3/INJUN 1,117,1,5975.0233,-3825.6951,1973.3768,3.125331,1.554763,-6.445683,993.1742529957246,7.3301985772705365,0.0009953863563574195
SOLRAD 3/INJUN 1,117,6,2843.9555,-4016.1914,5461.6642,6.084906,-1.122331,-3.945321,980.710826805951,7.338342162603077,0.0009981815573928549
SOLRAD 3/INJUN 1,117,12,-1666.3629,3733.1411,-6008.0746,-6.52269,1.862579,3.013522,896.0536110703615,7.422667998221731,0.0010214136836577499
SOLRAD 3/INJUN 1,117,24,475.315,2968.6519,-6631.0438,-6.661724,3.092757,0.962314,909.7664658411513,7.407412554179834,0.001017394609335825
TIROS 3,162,1,-5038.5414,1870.5701,-4720.0317,-0.240729,-6.999179,-2.529417,781.9456301255959,7.4461001527894455,0.0010409837482098548
TIROS 3,162,6,-5017.9013,1376.2034,-4909.0086,0.088623,-7.142012,-2.101296,782.4351670779279,7.445242395240668,0.001040792601225453
TIROS 3,162,12,3701.1136,3471.3775,4946.5654,-3.463057,6.401944,-1.872255,715.4104371739841,7.515516585665287,0.0010605533862730124
TIROS 3,162,24,-2636.8209,6506.4372,-1262.3061,-4.364026,-2.776708,-5.3907,762.019429828988,7.470908695462688,0.0010473697385739212
TRANSIT 4B,202,1,4455.2537,-5940.2601,-139.9153,4.940378,3.702984,3.924591,1055.6783879598415,7.315862205128045,0.000985078634479251
TRANSIT 4B,202,6,-1685.0733,-6465.5447,-3350.3886,6.372639,-2.755055,2.146762,1103.4795180053134,7.26701059322126,0.0009722430271854674
TRANSIT 4B,202,12,4796.2932,3905.3266,3923.686,-4.614517,5.800993,-0.183112,953.7058739330823,7.4147701875298875,0.001012295963161787
TRANSIT 4B,202,24,6163.4243,-3559.7258,1997.4471,2.328767,6.093195,3.385045,1021.5125492158977,7.349061892536965,0.000994122342520265
TRAAC,205,1,-3825.9976,6257.5121,1405.1687,-4.985091,-3.832693,3.662823,1096.878841566182,7.277151931893342,0.000974460363683024
TRAAC,205,6,2183.2821,6697.354,-2298.101,-5.843499,3.078809,3.187959,1038.6247904801103,7.334073084389261,0.0009898035719449764
TRAAC,205,12,-5219.9623,-3764.8609,3728.9019,3.557859,-6.219041,-1.421326,1067.2049843758487,7.304450644767066,0.000982017927727222
TRAAC,205,24,-5437.7402,4164.8968,2992.2902,-3.176218,-6.000573,2.598108,1103.5691834621693,7.269484320879783,0.0009725623166300813
TIROS 4,226,1,-5010.3101,2009.7852,-4677.156,-0.260916,-6.965929,-2.639463,771.704816568933,7.453791580160127,0.0010435530757017379
TIROS 4,226,6,-4986.9094,1361.3891,-4922.6167,0.188293,-7.155169,-2.095162,767.2631515324547,7.457989104219313,0.0010447904407416275
TIROS 4,226,12,3487.8633,3808.0697,4909.8251,-3.653957,6.167473,-2.105311,754.5152622203395,7.471376002470963,0.0010485383481085762
TIROS 4,226,24,-3033.2848,6266.2007,-1704.4886,-4.01485,-3.38512,-5.258382,796.3823170053856,7.431597351500147,0.0010368635329899847
TIROS 5,309,1,-3638.4637,1048.5066,5973.6632,-1.032813,-7.412829,0.508354,701.6541138030698,7.501677163509904,0.0010606594133975176
TIROS 5,309,6,-3777.4131,-833.8219,5879.4533,-0.040805,-7.435852,-1.240883,666.9030823003031,7.538789732683754,0.001071169870418241
TIROS 5,309,12,2258.1973,6428.0763,-2303.4726,-3.219134,3.259854,5.788324,821.05158374853,7.382016427795864,0.0010264131648438932
TIROS 5,309,24,-3578.7931,1220.1553,5979.5088,-1.45824,-7.341846,0.462176,703.6776956977437,7.4995182005440855,0.001060050863533288
FTV 3502,369,1,2795.2963,-612.851,-6352.7894,-6.888681,-1.262485,-2.845859,596.5821425905733,7.559544149144642,0.0010849594585954857
FTV 3502,369,6,-1750.5216,-1209.4891,-6601.1943,-7.277829,-0.600777,2.081745,564.6294553153475,7.593509742009619,0.0010948551664896231
FTV 3502,369,12,6906.2602,753.6363,-967.5705,-0.930243,-1.223788,-7.358469,643.3132447340822,7.517318347120468,0.0010717112402648986
FTV 3502,369,24,-6789.2386,-1074.8257,-841.9151,-1.100943,0.967333,7.471767,554.1593547526727,7.6141388695260215,0.0010994893372815325
TIROS 6,397,1,-5819.1362,2366.9338,2973.5554,0.799111,-5.080155,5.566787,579.3059964725326,7.57863250974178,0.0010904027122817528
TIROS 6,397,6,-3832.2241,-1331.0249,5632.7087,4.781825,-5.559683,1.931315,570.5398966005023,7.583264667696822,0.0010924470334616376
TIROS 6,397,12,-4053.4178,5250.1253,-2124.5718,-4.469628,-1.037287,6.013153,593.7553338514463,7.563831554190112,0.0010860154006310774
TIROS 6,397,24,3391.9912,-5428.9924,2709.0269,4.959846,0.21925,-5.725256,580.1430373039229,7.578040589212491,0.0010901862540512067
ALOUETTE 1 (S-27),424,1,5366.6853,-5047.4822,-112.973,0.903487,0.823758,7.261294,997.2528843194523,7.363508440693812,0.000999356096526527
ALOUETTE 1 (S-27),424,6,2454.0404,-3678.8871,-5915.7179,4.81832,-3.563462,4.238306,1014.9490149715339,7.340143513411709,0.0009937982916661113
ALOUETTE 1 (S-27),424,12,64.9284,1604.7044,7186.8954,-5.39875,4.894532,-1.02635,993.1535426040036,7.359099087797635,0.0009993136407630387
ALOUETTE 1 (S-27),424,24,4501.929,-3220.6506,4848.7651,-2.911742,4.078007,5.403362,987.7008366490463,7.369172509153047,0.0010014230327793526
